Price,Space Ft2,Bedroom,Bathroom,Furnished,Laundry,Housing Type,Parking,Zipcode,Exterior,KitchenApp,KitchenWall,KitchenFloor,KitchenFurn,LivingWall,LivingFloor,LivingFurn,BedWall,BedFloor,BedFurn,BathWall,BathFloor,BathFurn,StudentHousing,interior
1155,1350,30,10,1,1,4,3,13905,3,2,3,3,3,3,3,2,3,3,2,3,3,2,0,35
725,850,20,10,0,2,9,4,13901,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
900,1250,30,10,0,1,1,4,13905,3,2,2,3,3,3,3,2,3,3,1,3,3,2,0,33
700,700,10,10,1,3,1,4,13905,3,2,2,3,2,3,2,2,3,2,2,3,3,2,0,31
2450,3000,70,40,1,2,0,4,13901,2,2,2,3,2,3,3,2,3,3,2,3,3,2,0,33
960,1000,30,10,1,0,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
800,850,20,10,0,0,1,4,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
650,800,10,10,0,3,1,4,13827,2,2,2,3,3,3,2,1,3,2,1,3,3,2,0,30
4500,3600,80,35,1,3,1,4,13905,3,3,2,3,3,3,2,2,3,2,1,3,3,3,0,33
734,1302,40,20,1,3,1,4,13850,3,3,2,3,3,3,3,3,3,3,3,3,3,3,0,38
1200,1200,20,15,0,3,1,0,13827,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
3325,3500,70,40,1,3,0,4,13905,2,3,2,3,2,3,3,2,3,3,1,3,3,2,0,33
750,675,10,10,0,1,1,4,13905,2,2,3,3,2,3,2,1,3,2,1,3,3,2,0,30
1425,1600,30,20,0,3,1,4,13905,2,3,3,3,3,3,3,2,3,3,2,3,3,2,0,36
2000,2500,50,20,1,1,0,4,13905,3,2,2,3,3,3,3,2,3,3,3,3,3,2,0,35
1875,2100,50,10,1,1,0,4,13905,3,2,2,3,3,3,2,2,3,2,3,3,3,2,0,33
850,1030,30,20,0,0,1,0,13903,3,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
2000,2200,40,15,0,2,0,4,13905,2,3,3,3,3,3,3,2,3,3,3,3,3,2,0,37
1155,1350,30,10,1,1,1,3,13905,2,2,3,3,3,3,3,2,3,3,3,3,3,2,0,36
1600,2050,40,20,0,0,0,0,13901,2,2,2,3,2,3,3,2,3,3,2,3,3,2,0,33
1300,2400,40,20,1,3,0,4,13905,3,2,2,3,2,3,3,2,3,2,2,3,3,2,0,32
1275,1500,30,10,1,3,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
2450,2800,70,20,1,3,1,4,13905,3,2,2,3,2,3,2,2,3,3,2,3,3,2,0,32
2200,5000,40,20,1,3,0,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
650,1000,20,10,0,5,1,4,13760,3,2,2,3,2,3,2,1,3,2,1,3,3,2,0,29
550,600,10,10,0,1,1,4,13760,2,2,2,3,2,3,3,1,3,3,1,3,3,2,0,31
485,500,10,10,0,5,1,4,13790,2,2,2,3,2,3,2,2,3,2,2,3,3,2,0,31
735,1100,20,10,0,3,1,4,13901,2,3,2,3,2,3,3,1,3,2,1,3,3,2,0,31
330,250,10,10,0,1,0,4,13760,2,2,2,3,2,3,3,1,3,3,2,3,3,2,0,32
650,620,20,10,0,4,1,4,13904,2,2,2,3,2,3,3,1,3,3,1,3,3,2,0,31
2375,2400,50,30,1,3,0,4,13905,2,3,2,3,3,3,3,2,3,3,1,3,3,2,0,34
550,700,10,10,1,1,1,4,13905,3,2,2,3,2,3,3,2,3,3,2,3,3,2,0,33
410,600,10,10,0,5,1,4,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
400,500,10,10,0,0,1,4,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
1500,2000,50,20,1,1,1,4,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
1600,2400,40,25,0,3,0,4,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
1250,1750,30,30,0,4,0,1,13903,3,2,2,3,3,3,3,1,3,3,1,3,3,2,0,32
984,1591,30,20,0,4,0,0,13670,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
1095,900,10,10,0,4,1,0,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
575,350,10,10,1,5,1,4,13901,2,2,3,3,2,3,3,2,3,2,2,3,3,2,0,33
1000,2200,30,20,0,3,0,3,13904,3,3,3,3,2,3,2,2,3,2,2,3,3,2,0,33
675,980,20,20,0,4,10,4,13787,2,2,2,3,2,3,2,2,3,2,2,3,3,2,0,31
650,700,10,10,0,0,1,4,13862,2,2,2,3,2,3,3,1,3,2,1,3,3,2,0,30
1525,1200,40,10,0,3,0,4,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,3,0,35
900,1014,20,10,1,5,0,0,13905,3,2,2,3,3,3,2,2,3,3,2,3,3,2,0,33
1125,1100,30,15,0,3,4,4,13760,3,2,2,3,3,3,2,1,3,2,1,3,3,3,0,31
760,1000,20,10,0,0,1,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
675,1100,10,15,1,4,0,4,14892,2,2,2,3,2,3,3,2,3,3,2,3,3,2,0,33
450,200,10,10,0,0,1,0,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
875,1000,30,10,0,2,0,4,13850,3,2,2,3,2,3,3,1,3,3,1,3,3,2,0,31
775,1100,30,10,0,0,1,0,13760,2,2,3,3,3,3,3,2,3,3,2,3,3,2,0,35
875,560,20,10,0,3,0,4,13802,2,2,2,3,2,3,3,1,3,2,1,3,3,2,0,30
540,650,10,10,0,0,1,4,13760,2,2,2,3,3,3,3,1,3,3,2,3,3,2,0,33
1155,1350,30,10,1,1,1,3,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
2000,2300,50,15,0,3,0,2,13905,2,3,2,3,3,3,3,2,3,3,2,3,3,2,0,35
2750,2000,50,20,1,3,0,1,13905,2,2,2,3,3,3,2,2,3,2,2,3,3,2,0,32
650,900,20,10,0,1,1,4,13760,2,2,2,3,3,3,3,1,3,3,1,3,3,2,0,32
650,900,20,0,0,2,1,4,13760,2,2,2,3,3,3,3,1,3,3,1,3,3,2,0,32
725,900,10,10,0,1,1,4,13760,2,2,2,3,3,3,3,1,3,3,1,3,3,2,0,32
750,1098,20,20,0,4,4,4,13760,3,2,2,3,3,3,2,2,3,2,2,3,3,2,0,32
2900,2600,80,20,0,1,1,4,13045,2,2,2,3,3,3,3,2,3,2,2,3,3,2,0,33
1200,1350,30,10,1,1,0,4,13905,3,2,2,3,3,3,3,2,3,2,2,3,3,2,0,33
1155,1350,30,10,1,1,4,3,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
1245,1089,20,20,0,0,1,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
620,800,10,10,0,5,4,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
900,1300,20,10,0,4,4,2,13748,3,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
775,800,20,10,0,1,1,4,13903,2,2,2,3,3,3,2,1,3,2,1,3,3,2,0,30
750,925,20,10,0,1,1,4,13045,2,2,2,3,3,3,2,1,3,2,1,3,2,2,0,29
775,1200,30,10,1,2,1,4,13903,2,2,2,3,3,3,2,2,3,2,2,3,3,2,0,32
600,1050,10,10,1,2,1,4,13903,2,2,2,3,3,3,2,2,3,2,2,3,3,2,0,32
650,1200,20,10,1,1,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
775,800,20,10,0,1,1,4,13865,2,2,2,3,3,3,2,2,3,2,1,3,3,2,0,31
2750,2000,50,20,1,3,0,1,13903,3,2,2,3,3,3,2,2,3,2,2,3,3,2,0,32
800,1320,30,20,0,0,0,0,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
2200,3000,80,20,1,3,0,4,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
600,1500,10,10,0,3,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
1050,1200,30,10,0,1,1,4,13905,2,2,2,3,2,3,3,2,3,3,2,3,3,2,0,33
3325,3500,70,40,1,3,0,4,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
1400,1500,40,10,0,3,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,3,0,35
775,900,20,10,0,0,0,0,13760,2,2,2,3,3,3,3,1,3,2,1,3,3,2,0,31
1700,2500,40,30,0,3,0,2,13850,3,3,2,3,3,3,3,1,3,3,1,3,3,2,0,33
700,950,30,10,0,4,1,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
850,800,20,10,0,1,1,4,13795,2,3,3,3,3,3,2,1,3,2,1,3,3,2,0,32
3325,3500,70,50,1,3,0,4,13905,3,3,3,3,3,3,3,2,3,3,2,3,3,2,0,36
600,900,20,10,0,3,0,4,18818,3,2,2,3,3,3,3,2,3,2,2,3,3,2,0,33
1000,1200,30,10,0,0,0,2,13903,3,3,3,3,3,3,3,2,3,3,2,3,3,2,0,36
675,700,10,10,0,0,1,3,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
675,700,10,10,1,0,1,3,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
725,850,20,10,0,4,9,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
800,900,20,10,0,0,1,4,13815,2,2,2,3,3,3,2,1,3,2,1,3,3,2,0,30
800,870,20,10,0,2,1,4,13850,2,3,2,3,3,3,2,1,3,2,1,3,3,2,0,31
750,870,20,10,0,2,1,4,13850,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
725,1200,20,10,0,4,1,4,13903,2,2,2,3,3,3,2,1,3,3,2,3,3,2,0,32
1140,825,20,10,0,0,0,0,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
3500,2500,70,20,1,3,1,4,13905,2,2,3,3,3,3,3,2,3,3,1,3,3,2,0,34
750,800,20,10,0,0,1,4,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
825,1800,30,10,0,4,1,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
3000,4700,40,35,0,2,0,2,13760,3,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
2250,2600,60,20,1,3,0,4,13901,3,3,2,3,3,3,2,2,3,3,2,3,3,2,0,34
2900,2400,80,20,1,1,1,4,13045,2,2,2,3,3,3,2,2,3,2,2,3,3,2,0,32
725,850,20,10,0,4,9,4,13901,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
800,800,20,10,0,4,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
800,900,20,10,0,4,1,4,13905,2,2,2,2,3,3,3,1,3,3,1,3,3,2,0,31
750,600,10,10,0,1,1,4,13790,2,3,3,3,3,3,3,1,3,3,1,3,3,2,0,34
900,1000,20,10,0,4,1,4,13905,2,2,2,3,3,3,3,1,3,2,1,3,3,2,0,31
1395,1725,50,20,0,5,0,4,13905,2,2,2,3,3,3,2,1,3,2,1,3,3,2,0,30
1200,2600,60,25,0,4,0,2,13827,2,3,3,2,3,3,2,1,3,2,1,3,3,2,0,31
685,1000,20,15,0,4,1,4,18840,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
900,1300,20,10,0,4,1,2,13784,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
595,570,20,10,0,1,1,4,13827,2,2,2,3,3,3,3,1,3,3,1,3,3,2,0,32
2250,2400,50,20,1,3,0,4,13905,2,3,2,3,3,3,3,1,3,3,2,3,3,3,0,35
850,800,20,10,0,1,1,4,13903,2,3,3,3,3,3,3,2,3,3,2,3,3,2,0,36
900,1810,30,20,1,2,0,2,13905,3,3,3,3,3,3,3,2,3,3,1,3,3,2,0,35
1900,2800,30,20,1,3,0,4,13827,3,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
750,1000,20,10,0,4,1,4,13904,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
675,900,20,10,0,1,1,4,13903,2,2,2,3,3,3,1,1,3,1,1,3,3,2,0,28
600,450,10,10,0,1,1,4,13903,2,2,2,3,3,3,3,1,3,3,1,3,3,2,0,32
725,850,20,10,0,2,9,4,13901,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
600,450,10,10,0,0,1,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
650,650,10,10,0,0,1,4,13045,2,2,2,3,3,3,2,1,3,2,1,3,3,2,0,30
775,775,20,10,0,0,0,0,13790,3,3,2,3,3,3,3,1,2,2,1,3,3,2,0,31
770,410,10,10,1,1,1,0,13905,2,2,3,3,3,3,3,1,3,3,1,3,3,2,0,33
600,250,10,10,0,0,1,2,13903,2,2,2,3,3,3,3,2,3,2,1,3,3,2,0,32
650,900,20,10,0,3,10,4,13733,2,2,2,3,2,3,2,1,3,2,1,3,3,2,0,29
950,1248,30,10,0,3,1,0,13901,2,2,2,3,3,3,3,1,3,3,1,3,3,2,0,32
750,875,20,10,0,1,1,4,13862,2,2,2,3,3,3,2,1,3,2,1,3,3,2,0,30
925,1400,30,20,0,4,4,4,13760,3,2,2,3,3,3,2,1,3,2,1,3,3,2,0,30
3850,2500,70,30,1,3,0,4,13905,2,3,2,3,3,3,3,2,3,3,2,3,3,3,0,36
1200,1200,40,10,0,1,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
2400,3000,60,20,0,1,0,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
1750,1917,50,25,0,2,0,3,13905,3,3,3,3,3,3,3,1,3,3,1,3,3,2,0,34
950,1450,30,15,0,4,0,3,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
3325,2800,70,20,1,3,0,4,13905,2,3,3,3,3,3,3,3,3,3,2,3,3,3,0,38
3150,2500,60,25,1,3,1,4,13905,2,3,2,3,3,3,3,3,3,3,2,3,3,2,0,36
4400,3300,80,45,1,3,0,4,13905,2,3,2,3,3,3,3,2,3,3,2,3,3,2,0,35
600,600,10,10,0,1,1,0,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
750,950,10,10,0,0,1,0,13827,2,2,2,3,3,3,2,1,3,3,2,3,3,2,0,32
930,880,20,10,0,1,1,4,13850,2,2,3,3,3,3,3,2,3,2,2,3,3,2,0,34
1000,1021,30,10,0,4,0,3,13790,2,2,2,3,3,3,2,1,3,3,1,3,3,2,0,31
800,850,20,20,0,1,1,4,13760,2,2,2,3,3,3,2,1,3,2,1,3,3,2,0,30
951,1696,30,20,0,4,0,0,10024,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
695,800,20,10,0,2,1,4,13795,2,2,2,3,3,3,3,1,3,2,1,3,3,2,0,31
900,1200,20,10,0,3,1,2,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
1200,1000,10,20,1,3,1,4,13901,2,3,2,3,3,3,3,2,3,3,1,3,3,2,0,34
1000,1100,30,10,0,4,0,4,13903,2,2,2,3,2,3,3,1,3,2,2,3,3,2,0,31
775,1290,20,10,0,4,1,4,13778,2,3,2,3,3,3,3,1,3,3,1,3,3,2,0,33
600,1000,20,10,1,3,1,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
2850,2500,60,40,1,3,0,4,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
2900,2400,80,20,0,1,1,4,13045,2,2,2,3,3,3,2,2,3,2,2,3,3,2,0,32
700,700,10,10,1,3,1,4,13905,2,2,2,3,3,3,2,2,3,2,2,3,3,2,0,32
750,1000,20,10,1,2,1,4,13905,2,3,3,3,3,3,3,2,3,3,2,3,3,2,0,36
1200,1600,30,10,1,1,1,4,13905,2,3,3,3,3,3,3,2,3,3,2,3,3,2,0,36
650,800,20,10,0,2,1,4,13827,2,2,2,3,2,3,2,1,3,3,1,3,3,2,0,30
690,840,30,10,0,4,10,4,13730,2,3,2,3,3,3,3,1,3,2,1,3,3,2,0,32
725,880,30,15,0,4,10,4,13862,2,2,2,3,3,3,3,2,3,3,1,3,3,2,0,33
1100,900,20,20,1,0,1,4,13733,2,3,3,3,3,3,3,2,3,3,2,3,3,2,0,36
575,600,10,10,0,5,1,4,13903,2,2,3,3,3,3,2,1,3,2,1,3,3,2,0,31
675,900,10,10,0,0,0,0,13790,3,3,3,3,3,3,3,2,3,3,1,3,3,2,0,35
700,800,20,10,0,5,1,4,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
630,600,20,10,0,1,1,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
900,1218,30,10,0,4,0,2,13760,2,2,2,3,3,3,3,1,3,3,1,3,3,2,0,32
650,700,10,10,0,0,1,0,13901,2,2,2,3,3,3,3,1,3,3,1,3,3,2,0,32
700,1694,40,20,0,3,0,2,13905,2,2,2,3,3,3,3,1,3,3,2,3,3,2,0,33
550,600,10,10,1,2,1,4,13827,2,2,2,3,2,3,2,1,3,2,1,3,3,2,0,29
1050,1000,20,10,0,3,1,4,13760,2,3,2,3,3,3,3,1,3,3,1,3,3,3,0,34
1000,2225,50,20,0,1,0,2,13904,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
702,980,20,10,0,4,10,4,13827,2,2,3,3,3,3,2,1,3,2,1,3,3,2,0,31
700,980,20,10,0,4,10,4,13827,3,2,2,3,3,3,2,1,3,2,1,3,3,2,0,30
773,1064,30,20,0,4,10,4,13787,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
600,1000,20,10,1,2,1,0,13905,2,3,2,3,3,3,3,1,3,3,1,3,3,2,0,33
1000,1100,30,10,0,4,0,4,13903,2,2,2,3,3,3,3,1,3,3,2,3,3,2,0,33
2000,1900,40,20,0,1,0,4,18822,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
695,900,20,10,1,3,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
850,1200,20,10,1,3,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
2150,2000,50,20,1,3,0,4,13905,2,3,3,3,3,3,3,2,3,3,2,3,3,2,0,36
1100,750,20,10,1,3,1,4,13905,2,3,2,3,3,3,3,2,3,3,2,3,3,2,0,35
900,700,20,10,1,3,1,4,13905,2,3,3,3,3,3,3,2,3,3,2,3,3,2,0,36
625,715,10,10,0,0,1,4,13760,2,2,2,3,2,3,3,1,3,3,1,3,3,2,0,31
400,1800,40,20,1,2,4,4,13905,2,2,3,3,3,3,3,2,3,3,2,3,3,2,0,35
595,700,10,10,0,0,1,0,13901,3,2,2,3,3,3,3,1,3,3,1,3,3,2,0,32
800,1000,20,10,0,0,1,0,13905,2,3,3,3,2,3,3,1,3,2,1,3,3,2,0,32
775,800,20,10,0,1,1,4,13865,2,2,2,3,3,3,2,1,3,2,1,3,3,2,0,30
850,600,10,10,1,2,1,0,13901,2,2,3,3,3,3,3,2,3,3,2,3,3,3,0,36
